Sample;Sample_ID;Grain_ID;206Pb_238U;206Pb_238U_err_1s;207Pb_235U;207Pb_235U_err_1s;RHO;75Age;75Age_err;68Age;68Age_err_2s;BestAge;BestAge_err;Disc
300349_56;300349;56;0,01;0,00;0,05;0,00;0,89;52,89;1,69;50,64;1,47;50,64;1,47;0,04
300349_57;300349;57;0,01;0,00;0,06;0,00;0,68;54,80;1,90;50,91;1,22;50,91;1,22;0,07
300349_58;300349;58;0,01;0,00;0,05;0,00;0,13;52,77;8,35;36,29;0,77;36,29;0,77;0,31
300349_59;300349;59;0,01;0,00;0,15;0,02;0,54;144,04;33,37;68,34;9,17;68,34;9,17;0,53
300349_60;300349;60;0,01;0,00;0,05;0,00;0,50;51,61;3,39;41,32;1,38;41,32;1,38;0,20
300349_61;300349;61;0,01;0,00;0,04;0,00;0,30;39,61;4,51;38,06;1,31;38,06;1,31;0,04
300349_62;300349;62;0,01;0,00;0,07;0,00;0,62;64,74;5,02;55,83;2,78;55,83;2,78;0,14
300349_63;300349;63;0,01;0,00;0,04;0,00;0,20;39,49;6,44;38,38;1,26;38,38;1,26;0,03
300349_64;300349;64;0,01;0,00;0,04;0,00;0,90;42,47;1,20;41,63;1,08;41,63;1,08;0,02
300349_65;300349;65;0,01;0,00;0,05;0,00;0,86;51,82;2,44;49,18;2,05;49,18;2,05;0,05
